Triangle 151: (0.88, 1.00, -0.14), (0.84, 1.00, -0.18), (0.90, 1.00, 0.01)
Triangle 152: (0.88, 1.00, -0.14), (0.82, 1.00, -0.33), (0.84, 1.00, -0.18)
Triangle 153: (0.70, 1.00, -0.70), (0.66, 1.00, -0.74), (0.72, 1.00, -0.55)
Triangle 154: (0.95, 1.00, 0.00), (0.93, 1.00, -0.05), (0.95, 1.00, 0.10)
Triangle 155: (0.95, 1.00, 0.00), (0.93, 1.00, -0.15), (0.93, 1.00, -0.05)
Triangle 156: (0.88, 1.00, -0.45), (0.86, 1.00, -0.49), (0.88, 1.00, -0.35)
Triangle 157: (0.95, 1.00, 0.00), (0.96, 1.00, -0.05), (0.95, 1.00, -0.10)
Triangle 158: (0.95, 1.00, 0.00), (0.96, 1.00, 0.05), (0.96, 1.00, -0.05)
Triangle 159: (0.98, 1.00, 0.15), (0.98, 1.00, 0.10), (0.98, 1.00, 0.05)
Triangle 160: (0.77, 1.00, 0.56), (0.81, 1.00, 0.52), (0.83, 1.00, 0.48)
Triangle 161: (0.77, 1.00, 0.56), (0.75, 1.00, 0.61), (0.81, 1.00, 0.52)
Triangle 162: (0.70, 1.00, 0.70), (0.74, 1.00, 0.66), (0.76, 1.00, 0.62)
Triangle 163: (0.29, 1.00, 0.90), (0.35, 1.00, 0.90), (0.39, 1.00, 0.87)
Triangle 164: (0.29, 1.00, 0.90), (0.25, 1.00, 0.93), (0.35, 1.00, 0.90)
Triangle 165: (0.15, 1.00, 0.98), (0.21, 1.00, 0.97), (0.25, 1.00, 0.94)
Triangle 166: (-0.29, 1.00, 0.90), (-0.25, 1.00, 0.93), (-0.20, 1.00, 0.94)
Triangle 167: (-0.29, 1.00, 0.90), (-0.35, 1.00, 0.90), (-0.25, 1.00, 0.93)
Triangle 168: (-0.45, 1.00, 0.88), (-0.40, 1.00, 0.90), (-0.35, 1.00, 0.91)
Triangle 169: (-0.77, 1.00, 0.56), (-0.75, 1.00, 0.61), (-0.71, 1.00, 0.64)
Triangle 170: (-0.77, 1.00, 0.56), (-0.81, 1.00, 0.52), (-0.75, 1.00, 0.61)
